arquivo;algoritmo;estrutura;execucao;tempo_ms
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;4;183,7086
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;5;176,6332
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;6;185,2089
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;7;177,0865
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;8;196,3981
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;9;173,8938
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;10;198,9618
sample100-3960.gr;FLOYDWARSHALL;MATRIZ;11;175,3430
sample100-5940.gr;BFS;LISTA;1;10,8722
sample100-5940.gr;BFS;LISTA;2;2,8927
sample100-5940.gr;BFS;LISTA;3;3,0126
sample100-5940.gr;BFS;LISTA;4;3,3112
sample100-5940.gr;BFS;LISTA;5;2,9285
sample100-5940.gr;BFS;LISTA;6;3,1267
sample100-5940.gr;BFS;LISTA;7;2,6663
sample100-5940.gr;BFS;LISTA;8;2,3470
sample100-5940.gr;BFS;LISTA;9;2,4392
sample100-5940.gr;BFS;LISTA;10;2,5579
sample100-5940.gr;BFS;LISTA;11;3,0657
sample100-5940.gr;BFS;MATRIZ;1;2,9443
sample100-5940.gr;BFS;MATRIZ;2;1,2022
sample100-5940.gr;BFS;MATRIZ;3;2,4761
sample100-5940.gr;BFS;MATRIZ;4;2,4830
sample100-5940.gr;BFS;MATRIZ;5;2,4675
sample100-5940.gr;BFS;MATRIZ;6;2,4861
sample100-5940.gr;BFS;MATRIZ;7;2,9842
sample100-5940.gr;BFS;MATRIZ;8;2,8884
sample100-5940.gr;BFS;MATRIZ;9;2,6387
sample100-5940.gr;BFS;MATRIZ;10;2,4958
sample100-5940.gr;BFS;MATRIZ;11;2,5532
sample100-5940.gr;DFS;LISTA;1;2,5051
sample100-5940.gr;DFS;LISTA;2;2,5859
sample100-5940.gr;DFS;LISTA;3;2,4921
sample100-5940.gr;DFS;LISTA;4;2,4214
sample100-5940.gr;DFS;LISTA;5;2,2713
sample100-5940.gr;DFS;LISTA;6;2,2280
sample100-5940.gr;DFS;LISTA;7;2,2114
sample100-5940.gr;DFS;LISTA;8;2,4702
sample100-5940.gr;DFS;LISTA;9;2,2841
sample100-5940.gr;DFS;LISTA;10;2,2186
sample100-5940.gr;DFS;LISTA;11;2,2214
sample100-5940.gr;DFS;MATRIZ;1;2,4558
sample100-5940.gr;DFS;MATRIZ;2;2,3388
sample100-5940.gr;DFS;MATRIZ;3;2,4134
sample100-5940.gr;DFS;MATRIZ;4;2,5451
sample100-5940.gr;DFS;MATRIZ;5;2,3946
sample100-5940.gr;DFS;MATRIZ;6;2,3999
sample100-5940.gr;DFS;MATRIZ;7;2,4232
sample100-5940.gr;DFS;MATRIZ;8;2,4078
sample100-5940.gr;DFS;MATRIZ;9;2,3926
sample100-5940.gr;DFS;MATRIZ;10;2,2573
sample100-5940.gr;DFS;MATRIZ;11;2,4327
sample100-5940.gr;KRUSKAL;LISTA;1;3,9800
sample100-5940.gr;KRUSKAL;LISTA;2;3,7797
sample100-5940.gr;KRUSKAL;LISTA;3;3,8282
sample100-5940.gr;KRUSKAL;LISTA;4;3,8198
sample100-5940.gr;KRUSKAL;LISTA;5;2,8679
sample100-5940.gr;KRUSKAL;LISTA;6;2,5344
sample100-5940.gr;KRUSKAL;LISTA;7;2,6687
sample100-5940.gr;KRUSKAL;LISTA;8;3,4710
sample100-5940.gr;KRUSKAL;LISTA;9;2,6881
sample100-5940.gr;KRUSKAL;LISTA;10;2,6060
sample100-5940.gr;KRUSKAL;LISTA;11;4,2103
sample100-5940.gr;KRUSKAL;MATRIZ;1;3,7541
sample100-5940.gr;KRUSKAL;MATRIZ;2;4,6034
sample100-5940.gr;KRUSKAL;MATRIZ;3;4,0717
sample100-5940.gr;KRUSKAL;MATRIZ;4;4,2456
sample100-5940.gr;KRUSKAL;MATRIZ;5;4,5246
sample100-5940.gr;KRUSKAL;MATRIZ;6;3,9699
sample100-5940.gr;KRUSKAL;MATRIZ;7;3,6988
sample100-5940.gr;KRUSKAL;MATRIZ;8;3,8971
sample100-5940.gr;KRUSKAL;MATRIZ;9;4,1425
sample100-5940.gr;KRUSKAL;MATRIZ;10;4,0031
sample100-5940.gr;KRUSKAL;MATRIZ;11;3,8108
sample100-5940.gr;PRIM;LISTA;1;4,2779
sample100-5940.gr;PRIM;LISTA;2;4,4291
sample100-5940.gr;PRIM;LISTA;3;3,9721
sample100-5940.gr;PRIM;LISTA;4;3,9151
sample100-5940.gr;PRIM;LISTA;5;4,1900
sample100-5940.gr;PRIM;LISTA;6;3,6656
sample100-5940.gr;PRIM;LISTA;7;3,8392
sample100-5940.gr;PRIM;LISTA;8;3,9476
sample100-5940.gr;PRIM;LISTA;9;3,9750
